"County","Total:","Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:","Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households:","Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households: In married-couple family","Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households: In male householder, no spouse present, family","Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households: In female householder, no spouse present, family","Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: in nonfamily households","Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months:","Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households:","Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households: In married-couple family","Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households: In male householder, no spouse present, family","Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In family households: In female householder, no spouse present, family","Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months: In nonfamily households"
"San Francisco County, California","117,345","16,310","16,310","7,525","1,099","7,686","0","101,035","100,191","81,359","4,047","14,785","844"
"San Joaquin County, California","203,065","69,966","69,284","37,486","7,679","24,119","682","133,099","132,339","100,005","10,197","22,137","760"
"San Luis Obispo County, California","48,904","8,019","7,950","3,414","473","4,063","69","40,885","40,747","33,006","2,051","5,690","138"
"San Mateo County, California","154,596","13,545","13,545","7,765","779","5,001","0","141,051","140,483","114,860","9,440","16,183","568"
"Santa Barbara County, California","97,743","20,279","20,204","7,110","2,193","10,901","75","77,464","75,894","51,950","8,221","15,723","1,570"
"Santa Clara County, California","414,953","40,133","39,420","20,902","3,261","15,257","713","374,820","370,903","300,941","26,470","43,492","3,917"
"Santa Cruz County, California","51,485","8,561","8,561","5,304","606","2,651","0","42,924","42,803","30,601","3,810","8,392","121"
"Shasta County, California","38,686","8,261","7,959","5,209","469","2,281","302","30,425","29,910","21,618","3,274","5,018","515"
"Solano County, California","98,728","15,268","15,268","5,392","1,968","7,908","0","83,460","82,683","59,969","5,306","17,408","777"
"Sonoma County, California","94,580","9,372","9,274","5,121","1,662","2,491","98","85,208","84,366","59,110","12,387","12,869","842"
"Stanislaus County, California","147,535","35,663","35,663","17,418","3,136","15,109","0","111,872","111,872","82,889","10,969","18,014","0"
"Sutter County, California","24,860","9,958","9,958","4,687","1,938","3,333","0","14,902","14,830","10,507","524","3,799","72"
"Tehama County, California","15,403","5,125","5,125","1,989","396","2,740","0","10,278","10,278","5,288","2,138","2,852","0"
"Tulare County, California","141,979","60,277","60,023","29,493","6,023","24,507","254","81,702","81,566","59,529","6,555","15,482","136"
"Ventura County, California","190,142","31,578","30,612","13,925","4,458","12,229","966","158,564","156,701","121,750","9,880","25,071","1,863"
"Yolo County, California","44,139","10,294","10,294","5,776","613","3,905","0","33,845","33,599","25,192","3,657","4,750","246"
"Yuba County, California","21,626","4,292","4,292","2,435","105","1,752","0","17,334","17,009","12,405","1,787","2,817","325"
